###############################################################################
#
# Monsters - unique, dative
#
###############################################################################

%%%%
{dat}Prince Ribbit
Prinzen Ribbit
%%%%
{dat}Crazy Yiuf
Verrücktem Yiuf
%%%%
{dat}the Enchantress
der Hexenmeisterin
%%%%
{dat}Blork the orc
Blork dem Ork
%%%%
{dat}the Royal Jelly
dem Gelée Royale
%%%%
{dat}the Serpent of Hell
der Höllenschlange
%%%%
{dat}Lernaean hydra
Lernäischer Hydra
%%%%
{dat}the Lernaean hydra
der Lernäischen Hydra
%%%%
{dat}the one-headed Lernaean hydra
der einköpfigen Lernäischen Hydra
%%%%
{dat}the two-headed Lernaean hydra
der zweiköpfigen Lernäischen Hydra
%%%%
{dat}the three-headed Lernaean hydra
der dreiköpfigen Lernäischen Hydra
%%%%
{dat}the four-headed Lernaean hydra
der vierköpfigen Lernäischen Hydra
%%%%
{dat}the five-headed Lernaean hydra
der fünfköpfigen Lernäischen Hydra
%%%%
{dat}the six-headed Lernaean hydra
der sechsköpfigen Lernäischen Hydra
%%%%
{dat}the seven-headed Lernaean hydra
der siebenköpfigen Lernäischen Hydra
%%%%
{dat}the eight-headed Lernaean hydra
der achtköpfigen Lernäischen Hydra
%%%%
{dat}the nine-headed Lernaean hydra
der neunköpfigen Lernäischen Hydra
%%%%
{dat}the ten-headed Lernaean hydra
der zehnköpfigen Lernäischen Hydra
%%%%
{dat}the 11-headed Lernaean hydra
der 11-köpfigen Lernäischen Hydra
%%%%
{dat}the 12-headed Lernaean hydra
der 12-köpfigen Lernäischen Hydra
%%%%
{dat}the 13-headed Lernaean hydra
der 13-köpfigen Lernäischen Hydra
%%%%
{dat}the 14-headed Lernaean hydra
der 14-köpfigen Lernäischen Hydra
%%%%
{dat}the 15-headed Lernaean hydra
der 15-köpfigen Lernäischen Hydra
%%%%
{dat}the 16-headed Lernaean hydra
der 16-köpfigen Lernäischen Hydra
%%%%
{dat}the 17-headed Lernaean hydra
der 17-köpfigen Lernäischen Hydra
%%%%
{dat}the 18-headed Lernaean hydra
der 18-köpfigen Lernäischen Hydra
%%%%
{dat}the 19-headed Lernaean hydra
der 19-köpfigen Lernäischen Hydra
%%%%
{dat}the 20-headed Lernaean hydra
der 20-köpfigen Lernäischen Hydra
%%%%
{dat}the 21-headed Lernaean hydra
der 21-köpfigen Lernäischen Hydra
%%%%
{dat}the 22-headed Lernaean hydra
der 22-köpfigen Lernäischen Hydra
%%%%
{dat}the 23-headed Lernaean hydra
der 23-köpfigen Lernäischen Hydra
%%%%
{dat}the 24-headed Lernaean hydra
der 24-köpfigen Lernäischen Hydra
%%%%
{dat}the 25-headed Lernaean hydra
der 25-köpfigen Lernäischen Hydra
%%%%
{dat}the 26-headed Lernaean hydra
der 26-köpfigen Lernäischen Hydra
%%%%
{dat}the 27-headed Lernaean hydra
der 27-köpfigen Lernäischen Hydra
%%%%

