### Dungeon Crawl monster corpses
### (only lists monsters that actually leave a corpse)

### All corpses get a background blood stain, either red or green.
### - red, if the monster might leave red spatters elsewhere
###   (meaning it has blood a vampire can drink, even if poisonous)
### - green, otherwise.

%corpse 1
%back_sdir misc/blood

### Animals
%sdir mon/animals

## Insects ('a')
%back blood_green blood_green1 blood_green2 blood_green3 blood_green4
giant_cockroach CORPSE_GIANT_COCKROACH
worker_ant CORPSE_WORKER_ANT
soldier_ant CORPSE_SOLDIER_ANT
queen_ant CORPSE_QUEEN_ANT

## Batty monsters ('b')
butterfly CORPSE_BUTTERFLY
%back blood_puddle_red blood_puddle_red1 blood_puddle_red2 blood_puddle_red3 blood_puddle_red4
bat CORPSE_BAT
raven CORPSE_RAVEN
mon/holy/phoenix CORPSE_PHOENIX

## Hounds and hogs ('h')
jackal CORPSE_JACKAL
hound CORPSE_HOUND
warg CORPSE_WARG
wolf CORPSE_WOLF
hog CORPSE_HOG
hell_hound CORPSE_HELL_HOUND
hell_hog CORPSE_HELL_HOG
holy_swine CORPSE_HOLY_SWINE
%sdir player/felids
cat1 CORPSE_FELID
%sdir mon/animals

## Bees ('k')
%back blood_green blood_green1 blood_green2 blood_green3 blood_green4
killer_bee CORPSE_KILLER_BEE
queen_bee CORPSE_QUEEN_BEE
giant_firefly CORPSE_FIREFLY

## Lizards ('l')
%back blood_puddle_red blood_puddle_red1 blood_puddle_red2 blood_puddle_red3 blood_puddle_red4
giant_newt CORPSE_GIANT_NEWT
giant_gecko CORPSE_GIANT_GECKO
iguana CORPSE_IGUANA
basilisk CORPSE_BASILISK
komodo_dragon CORPSE_KOMODO_DRAGON

## Slugs ('j')
%back blood_green blood_green1 blood_green2 blood_green3 blood_green4
elephant_slug CORPSE_ELEPHANT_SLUG
giant_slug CORPSE_GIANT_SLUG
agate_snail CORPSE_AGATE_SNAIL

## Rodents ('r')
%back blood_puddle_red blood_puddle_red1 blood_puddle_red2 blood_puddle_red3 blood_puddle_red4
rat CORPSE_RAT
quokka CORPSE_QUOKKA
grey_rat CORPSE_GREY_RAT
green_rat CORPSE_GREEN_RAT
orange_rat CORPSE_ORANGE_RAT
porcupine CORPSE_PORCUPINE
%sdir mon/animals

## Spiders and insects ('s')
%back blood_green blood_green1 blood_green2 blood_green3 blood_green4
giant_centipede CORPSE_GIANT_CENTIPEDE
giant_mite CORPSE_GIANT_MITE
scorpion CORPSE_SCORPION
emperor_scorpion CORPSE_EMPEROR_SCORPION
spider CORPSE_SPIDER
tarantella CORPSE_TARANTELLA
jumping_spider CORPSE_JUMPING_SPIDER
wolf_spider CORPSE_WOLF_SPIDER
