# A note on variations. To create additional variations for weapons or armour,
# use the %enchant_variation command e.g.:
#
#    weapon_normal WEP_SOME_WEAPON
#    %enchant_variation WEP_SOME_WEAPON shiny
#    weapon_shiny WEP_SOME_WEAPON_SHINY
#    %enchant_variation WEP_SOME_WEAPON runed
#    weapon_runed WEP_SOME_WEAPON_RUNED
#    %enchant_variation WEP_SOME_WEAPON glowing
#    weapon_glowing WEP_SOME_WEAPON_GLOWING
#    %enchant_variation WEP_SOME_WEAPON randart
#    weapon_randart WEP_SOME_WEAPON_RANDART
#
# You can also use the same tile for multiple variations e.g.:
#
#    %enchant_variation WEP_SOME_WEAPON shiny runed glowing randart
#    weapon_magic WEP_SOME_WEAPON_MAGIC
#
# You can also give a single variation mutliple tiles that are chosen from
# randomly when the item is created e.g. to have two randart tiles:
#
#    %enchant_variation WEP_SOME_WEAPON randart
#    weapon_randart1 WEP_SOME_WEAPON_RANDART
#    weapon_randart2

##### Artefacts (fixed and unrandart)
%include dc-unrand.txt

urand_wyrmbane1 UNRAND_WYRMBANE1
urand_wyrmbane2 UNRAND_WYRMBANE2
urand_wyrmbane3 UNRAND_WYRMBANE3
urand_wyrmbane4 UNRAND_WYRMBANE4

#####NORMAL
%sdir item/weapon
%rim 0
##Maces and Flails
club WPN_CLUB
%enchant_variation WPN_CLUB shiny runed glowing randart
club2 WPN_CLUB_MAGIC
mace1 WPN_MACE
%enchant_variation WPN_MACE shiny runed glowing
mace2 WPN_MACE_MAGIC
%enchant_variation WPN_MACE randart
mace3 WPN_MACE_RANDART
mace_large1 WPN_GREAT_MACE
%enchant_variation WPN_GREAT_MACE shiny runed glowing
mace_large2 WPN_GREAT_MACE_MAGIC
%enchant_variation WPN_GREAT_MACE randart
mace_large3 WPN_GREAT_MACE_RANDART
flail1 WPN_FLAIL
%enchant_variation WPN_FLAIL shiny runed glowing
flail2 WPN_FLAIL_MAGIC
%enchant_variation WPN_FLAIL randart
flail3 WPN_FLAIL_RANDART
dire_flail1 WPN_DIRE_FLAIL
%enchant_variation WPN_DIRE_FLAIL shiny runed glowing
dire_flail2 WPN_DIRE_FLAIL_MAGIC
%enchant_variation WPN_DIRE_FLAIL randart
dire_flail3 WPN_DIRE_FLAIL_RANDART
morningstar1 WPN_MORNINGSTAR
%enchant_variation WPN_MORNINGSTAR shiny runed glowing
morningstar2 WPN_MORNINGSTAR_MAGIC
%enchant_variation WPN_MORNINGSTAR randart
morningstar3 WPN_MORNINGSTAR_RANDART
eveningstar1 WPN_EVENINGSTAR
%enchant_variation WPN_EVENINGSTAR shiny runed glowing
eveningstar2 WPN_EVENINGSTAR_MAGIC
%enchant_variation WPN_EVENINGSTAR randart
eveningstar3 WPN_EVENINGSTAR_RANDART
hammer1 WPN_HAMMER
%enchant_variation WPN_HAMMER shiny runed glowing
hammer2 WPN_HAMMER_MAGIC
%enchant_variation WPN_HAMMER shiny runed glowing randart
hammer3 WPN_HAMMER_RANDART
bullwhip WPN_WHIP
%enchant_variation WPN_WHIP shiny runed glowing
bullwhip2 WPN_WHIP_MAGIC
%enchant_variation WPN_WHIP randart
bullwhip3 WPN_WHIP_RANDART
giant_club WPN_GIANT_CLUB
%enchant_variation WPN_GIANT_CLUB shiny runed glowing
giant_club2 WPN_GIANT_CLUB_MAGIC
%enchant_variation WPN_GIANT_CLUB randart
giant_club3 WPN_GIANT_CLUB_RANDART
giant_spiked_club WPN_GIANT_SPIKED_CLUB
%enchant_variation WPN_GIANT_SPIKED_CLUB shiny runed glowing
giant_spiked_club2 WPN_GIANT_SPIKED_CLUB_MAGIC
%enchant_variation WPN_GIANT_SPIKED_CLUB randart
giant_spiked_club3 WPN_GIANT_SPIKED_CLUB_RANDART
demon_whip WPN_DEMON_WHIP
%enchant_variation WPN_DEMON_WHIP shiny runed glowing
demon_whip2 WPN_DEMON_WHIP_MAGIC
%enchant_variation WPN_DEMON_WHIP randart
demon_whip3 WPN_DEMON_WHIP_RANDART
sacred_scourge WPN_SACRED_SCOURGE

##Short Blades
dagger WPN_DAGGER
%enchant_variation WPN_DAGGER shiny runed glowing
dagger2 WPN_DAGGER_MAGIC
%enchant_variation WPN_DAGGER randart
dagger3 WPN_DAGGER_RANDART
short_sword1 WPN_SHORT_SWORD
%enchant_variation WPN_SHORT_SWORD shiny runed glowing
short_sword2 WPN_SHORT_SWORD_MAGIC
%enchant_variation WPN_SHORT_SWORD randart
short_sword3 WPN_SHORT_SWORD_RANDART
rapier1 WPN_RAPIER
%enchant_variation WPN_RAPIER shiny runed glowing
rapier2 WPN_RAPIER_MAGIC
%enchant_variation WPN_RAPIER randart
rapier3 WPN_RAPIER_RANDART
quickblade1 WPN_QUICK_BLADE
%enchant_variation WPN_QUICK_BLADE shiny runed glowing
quickblade2 WPN_QUICK_BLADE_MAGIC
%enchant_variation WPN_QUICK_BLADE randart
quickblade3 WPN_QUICK_BLADE_RANDART

##Long Blades
falchion1 WPN_FALCHION
%enchant_variation WPN_FALCHION shiny runed glowing
falchion2 WPN_FALCHION_MAGIC
%enchant_variation WPN_FALCHION randart
falchion3 WPN_FALCHION_RANDART
scimitar1 WPN_SCIMITAR
%enchant_variation WPN_SCIMITAR shiny runed glowing
scimitar2 WPN_SCIMITAR_MAGIC
