# This file is automatically generated from source/art-data.txt via
# util/art-data.pl.  Do not directly edit this file, but rather change
# art-data.txt.

%sdir item/armour/artefact
urand_ignorance UNRAND_IGNORANCE
urand_augmentation UNRAND_AUGMENTATION
urand_thief UNRAND_THIEF
urand_bullseye UNRAND_BULLSEYE
urand_dyrovepreva UNRAND_DYROVEPREVA
urand_bear UNRAND_BEAR_SPIRIT
urand_misfortune UNRAND_MISFORTUNE
urand_flash UNRAND_FLASH
urand_assassin UNRAND_BOOTS_ASSASSIN
urand_lear UNRAND_LEAR
urand_zhor UNRAND_ZHOR
urand_salamander UNRAND_SALAMANDER
urand_war UNRAND_WAR
urand_resistance UNRAND_RESISTANCE
urand_folly UNRAND_FOLLY
urand_maxwell UNRAND_MAXWELL
urand_dragonmask UNRAND_DRAGONMASK
urand_night UNRAND_NIGHT
urand_dragon_king UNRAND_DRAGON_KING
urand_alchemist UNRAND_ALCHEMIST
urand_fencer UNRAND_FENCERS_GLOVES
urand_starlight UNRAND_STARLIGHT
urand_ratskin_cloak UNRAND_RATSKIN_CLOAK
urand_gong UNRAND_GONG
urand_clouds UNRAND_RCLOUDS
urand_pondering UNRAND_PONDERING

%sdir item/weapon/artefact
spwpn_singing_sword UNRAND_SINGING_SWORD
spwpn_wrath_of_trog UNRAND_TROG
spwpn_mace_of_variability UNRAND_VARIABILITY
spwpn_glaive_of_prune UNRAND_PRUNE
spwpn_staff_of_olgreb UNRAND_OLGREB
spwpn_wucad_mu UNRAND_WUCAD_MU
spwpn_vampires_tooth UNRAND_VAMPIRES_TOOTH
spwpn_scythe_of_curses UNRAND_CURSES
urand_bloodbane UNRAND_BLOODBANE
urand_flaming_death UNRAND_FLAMING_DEATH
urand_brilliance UNRAND_BRILLIANCE
urand_leech UNRAND_LEECH
urand_chilly_death UNRAND_CHILLY_DEATH
urand_morg UNRAND_MORG
urand_finisher UNRAND_FINISHER
urand_punk UNRAND_PUNK
urand_krishna UNRAND_KRISHNA
urand_skullcrusher UNRAND_SKULLCRUSHER
urand_guard UNRAND_GUARD
urand_jihad UNRAND_JIHAD
urand_hellfire UNRAND_HELLFIRE
urand_doom_knight UNRAND_DOOM_KNIGHT
urand_eos UNRAND_EOS
urand_botono UNRAND_BOTONO
urand_octopus_king UNRAND_OCTOPUS_KING
urand_arga UNRAND_ARGA
urand_elemental UNRAND_ELEMENTAL_STAFF
urand_sniper UNRAND_SNIPER
urand_piercer UNRAND_PIERCER
urand_plutonium UNRAND_PLUTONIUM_SWORD
urand_undeadhunter UNRAND_UNDEADHUNTER
urand_crystal_spear UNRAND_CRYSTAL_SPEAR
urand_cutlass UNRAND_CAPTAINS_CUTLASS
urand_storm_bow UNRAND_STORM_BOW
%rim 1
spwpn_sword_of_power UNRAND_POWER
spwpn_sceptre_of_torment UNRAND_TORMENT
spwpn_sword_of_zonguldrok UNRAND_ZONGULDROK
spwpn_sword_of_cerebov UNRAND_CEREBOV
spwpn_staff_of_dispater UNRAND_DISPATER
spwpn_sceptre_of_asmodeus UNRAND_ASMODEUS
urand_blowgun UNRAND_BLOWGUN_ASSASSIN
urand_wyrmbane UNRAND_WYRMBANE
urand_spriggans_knife UNRAND_SPRIGGANS_KNIFE
urand_serpent_scourge UNRAND_SERPENT_SCOURGE
urand_knife_of_accuracy UNRAND_ACCURACY
%rim 0

%sdir item/amulet/artefact
urand_air UNRAND_AIR
urand_cekugob UNRAND_CEKUGOB
urand_four_winds UNRAND_FOUR_WINDS
urand_bloodlust UNRAND_BLOODLUST
urand_brooch_of_shielding UNRAND_SHIELDING

%sdir item/ring/artefact
urand_shadows UNRAND_SHADOWS
urand_shaolin UNRAND_SHAOLIN
urand_robustness UNRAND_ROBUSTNESS
urand_mage UNRAND_MAGE

