%sdir item/weapon/artefact
urand_bloodbane URAND_BLOODBANE
urand_flaming_death URAND_FLAMING_DEATH
urand_brilliance URAND_BRILLIANCE
urand_leech URAND_LEECH
urand_chilly_death URAND_CHILLY_DEATH
urand_morg URAND_MORG
urand_finisher URAND_FINISHER
urand_punk URAND_PUNK
urand_krishna URAND_KRISHNA
urand_skullcrusher URAND_SKULLCRUSHER
urand_guard URAND_GUARD
urand_jihad URAND_JIHAD
urand_fiery_devil URAND_FIERY_DEVIL
urand_doom_knight URAND_DOOM_KNIGHT
urand_eos URAND_EOS
urand_botono URAND_BOTONO
urand_octopus_king URAND_OCTOPUS_KING
urand_arga URAND_ARGA
urand_elemental URAND_ELEMENTAL
urand_sniper URAND_SNIPER
urand_piercer URAND_PIERCER
urand_plutonium URAND_PLUTONIUM
urand_undeadhunter URAND_UNDEADHUNTER
urand_crystal_spear URAND_CRYSTAL_SPEAR
%rim 1
urand_blowgun URAND_BLOWGUN_ASSASSIN
urand_serpent_scourge URAND_SERPENT_SCOURGE
urand_wyrmbane URAND_WYRMBANE
urand_spriggans_knife URAND_SPRIGGANS_KNIFE
urand_knife_of_accuracy URAND_KNIFE_OF_ACCURACY
%rim 0

%sdir item/armour/artefact
urand_ignorance URAND_IGNORANCE
urand_augmentation URAND_AUGMENTATION
urand_thief URAND_THIEF
urand_bullseye URAND_BULLSEYE
urand_dyrovepreva URAND_DYROVEPREVA
urand_misfortune URAND_MISFORTUNE
urand_flash URAND_FLASH
urand_assassin URAND_BOOTS_ASSASSIN
urand_lear URAND_LEAR
urand_zhor URAND_ZHOR
urand_salamander URAND_SALAMANDER
urand_war URAND_WAR
urand_resistance URAND_RESISTANCE
urand_folly URAND_FOLLY
urand_maxwell URAND_MAXWELL
urand_dragonmask URAND_DRAGONMASK
urand_night URAND_NIGHT
urand_dragon_king URAND_DRAGON_KING
urand_alchemist URAND_ALCHEMIST
urand_fencer URAND_FENCER
urand_starlight URAND_STARLIGHT
urand_ratskin_cloak URAND_RATSKIN_CLOAK

%sdir item/ring/artefact
urand_shadows URAND_SHADOWS
urand_shaolin URAND_SHAOLIN
urand_robustness URAND_ROBUSTNESS
urand_mage URAND_MAGE

%sdir item/amulet/artefact
urand_cekugob URAND_CEKUGOB
urand_four_winds URAND_FOUR_WINDS
urand_bloodlust URAND_BLOODLUST
urand_brooch_of_shielding URAND_BROOCH_OF_SHIELDING
urand_air URAND_AIR

