%sdir gui/zotdef
acquirement ABILITY_ZOTDEF_ACQUIREMENT
alarm_trap ABILITY_ZOTDEF_ALARM_TRAP
altar ABILITY_ZOTDEF_ALTAR
arrow_trap ABILITY_ZOTDEF_ARROW_TRAP
bazaar ABILITY_ZOTDEF_BAZAAR
blade_trap ABILITY_ZOTDEF_BLADE_TRAP
bolt_trap ABILITY_ZOTDEF_BOLT_TRAP
burning_bush ABILITY_ZOTDEF_BURNING_BUSH
curse_skull ABILITY_ZOTDEF_CURSE_SKULL
dart_trap ABILITY_ZOTDEF_DART_TRAP
fungus ABILITY_ZOTDEF_FUNGUS
gold ABILITY_ZOTDEF_GOLD
ice_statue ABILITY_ZOTDEF_ICE_STATUE
lightning_spire ABILITY_ZOTDEF_LIGHTNING_SPIRE
needle_trap ABILITY_ZOTDEF_NEEDLE_TRAP
net_trap ABILITY_ZOTDEF_NET_TRAP
ocs ABILITY_ZOTDEF_OCS
oklob_circle ABILITY_ZOTDEF_OKLOB_CIRCLE
oklob_plant ABILITY_ZOTDEF_OKLOB_PLANT
oklob_sapling ABILITY_ZOTDEF_OKLOB_SAPLING
plant ABILITY_ZOTDEF_PLANT
remove_curse ABILITY_ZOTDEF_REMOVE_CURSE
sage ABILITY_ZOTDEF_SAGE
silver_statue ABILITY_ZOTDEF_SILVER_STATUE
spear_trap ABILITY_ZOTDEF_SPEAR_TRAP
spore ABILITY_ZOTDEF_SPORE
teleport ABILITY_ZOTDEF_TELEPORT
water ABILITY_ZOTDEF_WATER
